EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:14:39	0.0002	1.1297	0.2869	0.8597	0.8822	0.8708	0.7753
2	17:45:51	0.0002	0.4351	0.2383	0.8903	0.9014	0.8958	0.8154
3	18:17:10	0.0002	0.3518	0.2286	0.8966	0.9038	0.9002	0.8227
4	18:48:28	0.0002	0.3179	0.2238	0.9003	0.9044	0.9024	0.8262
5	19:19:48	0.0002	0.2952	0.2206	0.9030	0.9036	0.9033	0.8276
6	19:51:03	0.0002	0.2770	0.2191	0.9058	0.9022	0.9040	0.8286
7	20:22:26	0.0002	0.2624	0.2187	0.9088	0.9009	0.9048	0.8297
8	20:53:49	0.0002	0.2511	0.2190	0.9114	0.8999	0.9057	0.8310
9	21:25:18	0.0002	0.2436	0.2190	0.9132	0.8996	0.9063	0.8321
10	21:56:53	0.0002	0.2370	0.2188	0.9147	0.8995	0.9070	0.8332
